"biddable","startprice","condition","cellular","carrier","color","storage","productline","sold","UniqueID","noDescription","charCountDescription","upperCaseDescription","startprice_99end"
"biddable",550,"new","No cellular","None","Gold","16/32/64 GB","Unknown",0,11000,"no description",0,0,"not a 99 ending"
"not biddable",249.99,"used","No cellular","None","Space Gray","16/32/64 GB","Unknown",0,11001,"contains description",3,0,"99 ending"
"not biddable",179.95,"used","Cellular","Verizon","Black","16/32/64 GB","iPad 2",0,11002,"no description",0,0,"not a 99 ending"
"not biddable",589.99,"new","Cellular","Sprint/T-Mobile","Space Gray","16/32/64 GB","iPad Air 1/2",0,11003,"no description",0,0,"99 ending"
"biddable",169.99,"used","No cellular","None","Black","Unknown","iPad 2",0,11004,"contains description",25,1,"99 ending"
"not biddable",176.27,"used","Cellular","AT&T","Unknown","16/32/64 GB","iPad mini",1,11005,"no description",0,0,"not a 99 ending"
"biddable",339,"used","No cellular","None","Black","16/32/64 GB","iPad 4",0,11006,"no description",0,0,"not a 99 ending"
"not biddable",80,"used","No cellular","None","Unknown","16/32/64 GB","iPad 1",0,11007,"contains description",67,3,"not a 99 ending"
"not biddable",165,"used","No cellular","None","Unknown","16/32/64 GB","iPad 1",0,11008,"contains description",101,3,"not a 99 ending"
"biddable",130,"used","No cellular","None","Unknown","16/32/64 GB","iPad 1",0,11009,"contains description",97,4,"not a 99 ending"
"not biddable",388.3,"used","Cellular","AT&T","Unknown","16/32/64 GB","iPad mini",0,11010,"no description",0,0,"not a 99 ending"
"not biddable",179.95,"used","No cellular","None","Black","16/32/64 GB","iPad 2",0,11011,"contains description",95,3,"not a 99 ending"
"not biddable",429.99,"used","Cellular","AT&T","Space Gray","16/32/64 GB","iPad Air 1/2",0,11012,"contains description",67,7,"99 ending"
"not biddable",500,"new","Cellular","Unknown","Unknown","16/32/64 GB","iPad mini3",0,11013,"no description",0,0,"not a 99 ending"
"not biddable",460,"new","No cellular","None","Space Gray","16/32/64 GB","iPad mini3",0,11014,"contains description",100,3,"not a 99 ending"
"not biddable",173,"used","No cellular","None","White","16/32/64 GB","iPad 2",1,11015,"contains description",81,10,"not a 99 ending"
"biddable",220,"refurbished","No cellular","None","White","16/32/64 GB","iPad mini",0,11016,"contains description",52,16,"not a 99 ending"
"biddable",245,"used","No cellular","None","Space Gray","16/32/64 GB","iPad Air 1/2",1,11017,"no description",0,0,"not a 99 ending"
"not biddable",249.99,"used","Cellular","AT&T","Black","16/32/64 GB","iPad 4",0,11018,"contains description",97,81,"99 ending"
"not biddable",720.12,"used","Cellular","AT&T","Unknown","16/32/64 GB","iPad mini",0,11019,"no description",0,0,"not a 99 ending"
"not biddable",300,"refurbished","No cellular","None","White","16/32/64 GB","iPad 4",0,11020,"contains description",99,9,"not a 99 ending"
"not biddable",500,"used","Cellular","Sprint/T-Mobile","Unknown","16/32/64 GB","iPad mini 2",0,11021,"contains description",54,2,"not a 99 ending"
"not biddable",289.99,"used","Cellular","Verizon","White","16/32/64 GB","iPad 2",0,11022,"contains description",105,3,"99 ending"
"not biddable",200,"used","No cellular","None","White","16/32/64 GB","iPad mini",0,11023,"no description",0,0,"not a 99 ending"
"biddable",298.97,"used","Cellular","AT&T","White","16/32/64 GB","iPad 2",0,11024,"no description",0,0,"not a 99 ending"
"not biddable",160,"used","No cellular","None","Black","16/32/64 GB","iPad 2",1,11025,"no description",0,0,"not a 99 ending"
"not biddable",229.99,"used","Cellular","Verizon","White","16/32/64 GB","iPad 3",1,11026,"contains description",101,3,"99 ending"
"biddable",149.95,"used","No cellular","None","Space Gray","16/32/64 GB","iPad mini",1,11027,"contains description",26,3,"not a 99 ending"
"biddable",24.99,"used","No cellular","None","Space Gray","16/32/64 GB","iPad Air 1/2",1,11028,"no description",0,0,"99 ending"
"not biddable",108,"used","Cellular","AT&T","White","16/32/64 GB","Unknown",0,11029,"contains description",98,2,"not a 99 ending"
"biddable",99.99,"used","No cellular","None","White","128 GB","iPad 4",1,11030,"no description",0,0,"99 ending"
"not biddable",229.99,"used","Unknown","Unknown","Unknown","Unknown","Unknown",0,11031,"contains description",100,4,"99 ending"
"not biddable",234.99,"used","No cellular","None","Black","16/32/64 GB","iPad 2",0,11032,"no description",0,0,"99 ending"
"biddable",152,"used","No cellular","None","Black","16/32/64 GB","iPad 2",0,11033,"no description",0,0,"not a 99 ending"
"not biddable",699,"new","Cellular","Unknown","Unknown","128 GB","iPad Air 1/2",0,11034,"contains description",12,0,"99 ending"
"not biddable",475,"new","No cellular","None","Unknown","16/32/64 GB","iPad Air 1/2",0,11035,"no description",0,0,"not a 99 ending"
"not biddable",209,"used","No cellular","None","Black","16/32/64 GB","iPad 2",1,11036,"no description",0,0,"not a 99 ending"
"not biddable",90,"used","No cellular","None","Unknown","16/32/64 GB","iPad 1",0,11037,"no description",0,0,"not a 99 ending"
"not biddable",85.95,"used","No cellular","None","Unknown","16/32/64 GB","iPad 1",0,11038,"no description",0,0,"not a 99 ending"
"biddable",0.99,"used","No cellular","None","Space Gray","16/32/64 GB","iPad mini",1,11039,"contains description",27,3,"99 ending"
"not biddable",320.99,"used","No cellular","None","White","16/32/64 GB","iPad Air 1/2",0,11040,"no description",0,0,"99 ending"
"not biddable",339,"used","No cellular","None","Unknown","16/32/64 GB","iPad Air 1/2",0,11041,"contains description",68,2,"not a 99 ending"
"biddable",528,"new","Cellular","Unknown","Unknown","128 GB","iPad Air 1/2",1,11042,"no description",0,0,"not a 99 ending"
"biddable",0.99,"refurbished","No cellular","None","Black","16/32/64 GB","iPad 1",1,11043,"contains description",33,4,"99 ending"
"not biddable",146.99,"used","No cellular","None","White","16/32/64 GB","iPad 2",0,11044,"contains description",91,4,"99 ending"
"not biddable",539.95,"new","No cellular","None","Unknown","128 GB","iPad Air 1/2",0,11045,"no description",0,0,"not a 99 ending"
"not biddable",92,"used","Cellular","AT&T","White","16/32/64 GB","iPad 1",0,11046,"contains description",95,4,"not a 99 ending"
"not biddable",199.99,"refurbished","No cellular","None","Unknown","16/32/64 GB","iPad 2",0,11047,"contains description",53,2,"99 ending"
"not biddable",160,"used","Cellular","Verizon","Unknown","16/32/64 GB","iPad 2",0,11048,"contains description",58,49,"not a 99 ending"
"not biddable",349,"new","No cellular","None","Unknown","16/32/64 GB","iPad Air 1/2",1,11049,"no description",0,0,"not a 99 ending"
"not biddable",84.99,"used","No cellular","None","Unknown","16/32/64 GB","iPad 1",0,11050,"no description",0,0,"99 ending"
"not biddable",225,"used","No cellular","None","Black","16/32/64 GB","iPad 2",0,11051,"no description",0,0,"not a 99 ending"
"biddable",180,"used","No cellular","None","Unknown","16/32/64 GB","iPad 1",0,11052,"no description",0,0,"not a 99 ending"
"biddable",450,"used","Cellular","Unknown","Unknown","16/32/64 GB","iPad Air 1/2",1,11053,"no description",0,0,"not a 99 ending"
"biddable",100,"used","No cellular","None","Unknown","16/32/64 GB","iPad mini 2",1,11054,"no description",0,0,"not a 99 ending"
"biddable",100,"new","No cellular","None","White","16/32/64 GB","Unknown",1,11055,"no description",0,0,"not a 99 ending"
"biddable",250,"new","Unknown","Unknown","Space Gray","16/32/64 GB","Unknown",1,11056,"no description",0,0,"not a 99 ending"
"biddable",300,"new","Cellular","Sprint/T-Mobile","Space Gray","16/32/64 GB","iPad 4",1,11057,"no description",0,0,"not a 99 ending"
"not biddable",517.89,"new","Cellular","AT&T","White","16/32/64 GB","iPad Air 1/2",0,11058,"no description",0,0,"not a 99 ending"
"not biddable",500,"new","No cellular","None","Unknown","16/32/64 GB","iPad Air 1/2",1,11059,"no description",0,0,"not a 99 ending"
"not biddable",397.75,"used","Cellular","Verizon","Unknown","16/32/64 GB","iPad mini",0,11060,"no description",0,0,"not a 99 ending"
"not biddable",200,"used","No cellular","None","White","16/32/64 GB","iPad mini",1,11061,"no description",0,0,"not a 99 ending"
"not biddable",239,"refurbished","Cellular","Sprint/T-Mobile","Unknown","16/32/64 GB","iPad mini",1,11062,"contains description",59,3,"not a 99 ending"
"not biddable",259.99,"refurbished","No cellular","None","Unknown","16/32/64 GB","iPad 4",0,11063,"contains description",21,1,"99 ending"
"biddable",250,"new","No cellular","None","Unknown","16/32/64 GB","iPad Air 1/2",1,11064,"no description",0,0,"not a 99 ending"
"biddable",429.99,"new","No cellular","None","Gold","16/32/64 GB","iPad Air 1/2",0,11065,"no description",0,0,"99 ending"
"biddable",99.99,"used","No cellular","None","Gold","16/32/64 GB","iPad Air 1/2",1,11066,"contains description",4,1,"99 ending"
"biddable",549.99,"new","No cellular","None","Gold","16/32/64 GB","iPad Air 1/2",0,11067,"no description",0,0,"99 ending"
"not biddable",294.99,"used","No cellular","None","White","16/32/64 GB","iPad 2",0,11068,"no description",0,0,"99 ending"
"not biddable",189.99,"used","Cellular","Verizon","Black","16/32/64 GB","iPad 2",0,11069,"contains description",97,13,"99 ending"
"not biddable",398.99,"new","No cellular","None","White","16/32/64 GB","iPad mini",0,11070,"no description",0,0,"99 ending"
"not biddable",429.99,"new","Cellular","AT&T","Unknown","16/32/64 GB","iPad mini",0,11071,"no description",0,0,"99 ending"
"biddable",199,"used","Cellular","AT&T","Unknown","16/32/64 GB","iPad mini",0,11072,"contains description",98,5,"99 ending"
"not biddable",495.49,"new","No cellular","None","White","16/32/64 GB","iPad Air 1/2",0,11073,"no description",0,0,"not a 99 ending"
"not biddable",249.59,"refurbished","Cellular","Unknown","Black","16/32/64 GB","iPad 4",0,11074,"contains description",96,2,"not a 99 ending"
"not biddable",250,"used","Cellular","Verizon","White","16/32/64 GB","iPad 3",0,11075,"contains description",9,1,"not a 99 ending"
"not biddable",99,"used","Cellular","AT&T","White","16/32/64 GB","iPad 1",0,11076,"contains description",95,1,"99 ending"
"not biddable",108,"used","Cellular","AT&T","White","16/32/64 GB","Unknown",0,11077,"contains description",98,2,"not a 99 ending"
"biddable",225,"used","No cellular","None","White","16/32/64 GB","iPad mini 2",0,11078,"contains description",14,1,"not a 99 ending"
"not biddable",350,"used","No cellular","None","Unknown","16/32/64 GB","iPad 4",0,11079,"no description",0,0,"not a 99 ending"
"not biddable",82.98,"used","No cellular","None","Unknown","16/32/64 GB","iPad 1",0,11080,"no description",0,0,"not a 99 ending"
"not biddable",190.45,"used","Cellular","AT&T","Unknown","16/32/64 GB","iPad 2",0,11081,"contains description",97,2,"not a 99 ending"
"not biddable",101,"used","Cellular","AT&T","White","16/32/64 GB","iPad 1",0,11082,"contains description",95,1,"not a 99 ending"
"not biddable",415,"used","Cellular","Sprint/T-Mobile","Unknown","16/32/64 GB","iPad Air 1/2",0,11083,"no description",0,0,"not a 99 ending"
"not biddable",469,"new","No cellular","None","White","128 GB","iPad mini 2",0,11084,"no description",0,0,"not a 99 ending"
"biddable",0.99,"used","Cellular","AT&T","Unknown","16/32/64 GB","iPad mini",1,11085,"contains description",101,4,"99 ending"
"not biddable",249.99,"used","No cellular","None","White","Unknown","iPad 4",1,11086,"no description",0,0,"99 ending"
"not biddable",227.88,"refurbished","No cellular","None","Unknown","16/32/64 GB","iPad mini",0,11087,"no description",0,0,"not a 99 ending"
"not biddable",350,"new","Unknown","Unknown","Space Gray","16/32/64 GB","iPad mini Retina",0,11088,"no description",0,0,"not a 99 ending"
"not biddable",199.97,"used","No cellular","None","Unknown","16/32/64 GB","iPad mini",0,11089,"contains description",36,2,"not a 99 ending"
"not biddable",280,"new","No cellular","None","White","16/32/64 GB","iPad mini 2",0,11090,"contains description",99,7,"not a 99 ending"
"not biddable",172,"used","No cellular","None","White","16/32/64 GB","iPad 2",0,11091,"contains description",98,2,"not a 99 ending"
"biddable",199,"used","Cellular","AT&T","Unknown","16/32/64 GB","iPad mini",0,11092,"contains description",98,5,"99 ending"
"not biddable",199.99,"used","No cellular","None","Space Gray","16/32/64 GB","iPad mini",0,11093,"contains description",19,3,"99 ending"
"not biddable",449,"new","No cellular","None","Gold","16/32/64 GB","iPad Air 1/2",0,11094,"no description",0,0,"not a 99 ending"
"biddable",349.99,"used","No cellular","None","Black","16/32/64 GB","iPad Air 1/2",0,11095,"contains description",47,1,"99 ending"
"biddable",0.99,"used","Cellular","Sprint/T-Mobile","Black","16/32/64 GB","iPad mini 2",1,11096,"contains description",65,53,"99 ending"
"biddable",300,"used","Cellular","Verizon","Black","16/32/64 GB","iPad 3",0,11097,"contains description",82,2,"not a 99 ending"
"not biddable",310,"used","Cellular","AT&T","Unknown","16/32/64 GB","iPad mini 2",0,11098,"no description",0,0,"not a 99 ending"
"biddable",1,"used","Cellular","AT&T","Unknown","16/32/64 GB","iPad Air 1/2",1,11099,"contains description",93,3,"not a 99 ending"
"biddable",0.99,"used","No cellular","None","Unknown","16/32/64 GB","iPad 3",1,11100,"contains description",4,1,"99 ending"
"not biddable",215,"used","Cellular","Verizon","Unknown","16/32/64 GB","iPad 4",1,11101,"no description",0,0,"not a 99 ending"
"biddable",0.99,"used","Unknown","Unknown","Unknown","Unknown","Unknown",1,11102,"no description",0,0,"99 ending"
"not biddable",170,"used","Cellular","AT&T","Black","16/32/64 GB","iPad 2",0,11103,"no description",0,0,"not a 99 ending"
"not biddable",257.83,"refurbished","No cellular","None","Space Gray","16/32/64 GB","iPad Air 1/2",0,11104,"contains description",101,8,"not a 99 ending"
"not biddable",303.67,"used","No cellular","None","Gold","16/32/64 GB","iPad mini Retina",0,11105,"contains description",100,25,"not a 99 ending"
"not biddable",258.88,"new","No cellular","None","Black","16/32/64 GB","iPad mini",0,11106,"no description",0,0,"not a 99 ending"
"not biddable",160,"used","No cellular","None","Unknown","16/32/64 GB","iPad 2",1,11107,"contains description",92,5,"not a 99 ending"
"not biddable",196,"used","Unknown","Unknown","White","16/32/64 GB","iPad 3",0,11108,"contains description",93,4,"not a 99 ending"
"not biddable",174.99,"used","No cellular","None","Black","16/32/64 GB","iPad 1",0,11109,"contains description",30,1,"99 ending"
"not biddable",550,"new","Cellular","Unknown","Space Gray","16/32/64 GB","iPad Air 1/2",0,11110,"no description",0,0,"not a 99 ending"
"not biddable",100,"used","No cellular","None","Unknown","16/32/64 GB","iPad 1",0,11111,"no description",0,0,"not a 99 ending"
"not biddable",424.95,"used","No cellular","None","White","128 GB","iPad Air 1/2",0,11112,"no description",0,0,"not a 99 ending"
"not biddable",500,"used","No cellular","None","Black","128 GB","iPad 4",0,11113,"contains description",64,1,"not a 99 ending"
"not biddable",120.02,"used","No cellular","None","Unknown","16/32/64 GB","iPad 1",0,11114,"no description",0,0,"not a 99 ending"
"biddable",0.99,"new","No cellular","None","Unknown","128 GB","iPad Air 1/2",1,11115,"contains description",29,1,"99 ending"
"not biddable",110,"used","No cellular","None","White","16/32/64 GB","iPad 1",0,11116,"contains description",96,74,"not a 99 ending"
"biddable",25,"used","No cellular","None","Space Gray","16/32/64 GB","iPad mini 2",1,11117,"no description",0,0,"not a 99 ending"
"not biddable",469.99,"used","Cellular","AT&T","Unknown","128 GB","iPad Air 1/2",0,11118,"contains description",100,3,"99 ending"
"not biddable",389.99,"used","Unknown","Unknown","Unknown","Unknown","iPad mini3",1,11119,"contains description",100,2,"99 ending"
"not biddable",325,"used","No cellular","None","Unknown","16/32/64 GB","iPad 4",0,11120,"no description",0,0,"not a 99 ending"
"biddable",426.99,"new","No cellular","None","Gold","16/32/64 GB","iPad mini3",0,11121,"contains description",100,3,"99 ending"
"biddable",0.99,"used","Cellular","Unknown","Space Gray","16/32/64 GB","iPad mini",1,11122,"contains description",41,2,"99 ending"
"not biddable",449.99,"used","Cellular","Verizon","Unknown","16/32/64 GB","iPad Air 1/2",0,11123,"contains description",99,16,"99 ending"
"not biddable",198,"used","No cellular","None","Unknown","16/32/64 GB","iPad mini",0,11124,"contains description",101,2,"not a 99 ending"
"not biddable",319.95,"used","No cellular","None","White","16/32/64 GB","iPad 3",1,11125,"contains description",19,1,"not a 99 ending"
"not biddable",419.99,"new","Cellular","AT&T","White","16/32/64 GB","iPad 4",0,11126,"no description",0,0,"99 ending"
"biddable",150,"used","No cellular","None","Space Gray","16/32/64 GB","Unknown",0,11127,"contains description",95,1,"not a 99 ending"
"biddable",400,"new","Cellular","Unknown","Unknown","16/32/64 GB","iPad Air 1/2",1,11128,"no description",0,0,"not a 99 ending"
"biddable",350,"new","No cellular","None","Unknown","16/32/64 GB","iPad Air 1/2",1,11129,"contains description",105,3,"not a 99 ending"
"not biddable",495.99,"new","No cellular","None","Space Gray","16/32/64 GB","iPad Air 1/2",0,11130,"no description",0,0,"99 ending"
"biddable",500,"new","Cellular","Unknown","Space Gray","16/32/64 GB","iPad Air 1/2",1,11131,"no description",0,0,"not a 99 ending"
"not biddable",339,"used","No cellular","None","White","16/32/64 GB","iPad Air 1/2",1,11132,"no description",0,0,"not a 99 ending"
"not biddable",300,"used","Unknown","Unknown","Unknown","16/32/64 GB","iPad 3",0,11133,"contains description",92,4,"not a 99 ending"
"biddable",99,"used","Unknown","Unknown","Unknown","16/32/64 GB","iPad 3",1,11134,"contains description",100,4,"99 ending"
"not biddable",289.95,"used","Cellular","Sprint/T-Mobile","Black","16/32/64 GB","iPad mini 2",0,11135,"contains description",89,70,"not a 99 ending"
"not biddable",549.95,"used","Cellular","Unknown","Space Gray","16/32/64 GB","iPad Air 1/2",0,11136,"contains description",67,1,"not a 99 ending"
"not biddable",229,"used","Cellular","Verizon","White","16/32/64 GB","iPad 3",0,11137,"contains description",93,4,"not a 99 ending"
"biddable",259,"used","Unknown","Unknown","White","16/32/64 GB","Unknown",0,11138,"contains description",28,2,"not a 99 ending"
"biddable",149.97,"used","No cellular","None","Unknown","16/32/64 GB","iPad 2",0,11139,"contains description",97,2,"not a 99 ending"
"not biddable",649.95,"new","Cellular","Sprint/T-Mobile","White","16/32/64 GB","iPad Air 1/2",0,11140,"no description",0,0,"not a 99 ending"
"not biddable",615.99,"new","No cellular","None","Space Gray","16/32/64 GB","iPad Air 1/2",0,11141,"no description",0,0,"99 ending"
"biddable",0.99,"used","Unknown","Unknown","Unknown","Unknown","Unknown",1,11142,"contains description",100,2,"99 ending"
"not biddable",270.99,"used","Cellular","AT&T","Space Gray","16/32/64 GB","iPad Air 1/2",0,11143,"contains description",97,10,"99 ending"
"biddable",175,"used","No cellular","None","White","16/32/64 GB","iPad mini 2",1,11144,"no description",0,0,"not a 99 ending"
"not biddable",430,"used","No cellular","None","Unknown","128 GB","iPad mini 2",0,11145,"contains description",96,3,"not a 99 ending"
"not biddable",379.99,"new","No cellular","None","Black","16/32/64 GB","iPad Air 1/2",0,11146,"no description",0,0,"99 ending"
"not biddable",299.95,"used","Unknown","Unknown","White","16/32/64 GB","iPad mini",0,11147,"contains description",82,15,"not a 99 ending"
"not biddable",600,"used","Cellular","AT&T","Black","128 GB","iPad 3",0,11148,"contains description",30,1,"not a 99 ending"
"not biddable",275,"used","No cellular","None","Unknown","16/32/64 GB","iPad 4",0,11149,"no description",0,0,"not a 99 ending"
"not biddable",585.99,"new","Cellular","Unknown","Space Gray","16/32/64 GB","iPad Air 1/2",0,11150,"no description",0,0,"99 ending"
"not biddable",550,"new","Cellular","Unknown","Unknown","16/32/64 GB","iPad Air 1/2",0,11151,"no description",0,0,"not a 99 ending"
"not biddable",245,"used","Cellular","AT&T","White","16/32/64 GB","iPad 1",0,11152,"contains description",22,19,"not a 99 ending"
"not biddable",180,"used","No cellular","None","White","16/32/64 GB","iPad 3",0,11153,"no description",0,0,"not a 99 ending"
"not biddable",329.99,"used","No cellular","None","Unknown","16/32/64 GB","iPad Air 1/2",0,11154,"no description",0,0,"99 ending"
"not biddable",250,"used","Cellular","Unknown","Black","16/32/64 GB","iPad 1",0,11155,"no description",0,0,"not a 99 ending"
"biddable",299.99,"new","No cellular","None","Gold","16/32/64 GB","iPad Air 1/2",0,11156,"no description",0,0,"99 ending"
"biddable",165,"used","No cellular","None","White","16/32/64 GB","iPad 2",0,11157,"no description",0,0,"not a 99 ending"
"not biddable",175,"used","Unknown","Unknown","Black","16/32/64 GB","iPad 2",1,11158,"contains description",98,3,"not a 99 ending"
"not biddable",260,"used","No cellular","None","Black","16/32/64 GB","Unknown",0,11159,"no description",0,0,"not a 99 ending"
"not biddable",340,"refurbished","Cellular","AT&T","White","16/32/64 GB","iPad 4",0,11160,"contains description",100,2,"not a 99 ending"
"not biddable",174.99,"used","No cellular","None","Unknown","16/32/64 GB","iPad 2",0,11161,"no description",0,0,"99 ending"
"not biddable",388.99,"refurbished","Cellular","Sprint/T-Mobile","Space Gray","16/32/64 GB","iPad Air 1/2",0,11162,"contains description",96,15,"99 ending"
"not biddable",90,"used","No cellular","None","Unknown","16/32/64 GB","iPad 1",0,11163,"contains description",97,6,"not a 99 ending"
"not biddable",349.99,"refurbished","No cellular","None","Black","16/32/64 GB","iPad mini 2",0,11164,"contains description",101,6,"99 ending"
"biddable",400,"new","No cellular","None","Space Gray","16/32/64 GB","iPad Air 1/2",1,11165,"no description",0,0,"not a 99 ending"
"biddable",299.99,"used","No cellular","None","Unknown","16/32/64 GB","iPad Air 1/2",0,11166,"contains description",32,4,"99 ending"
"not biddable",375,"used","No cellular","None","White","16/32/64 GB","iPad mini 2",1,11167,"no description",0,0,"not a 99 ending"
"not biddable",443.09,"refurbished","Cellular","Sprint/T-Mobile","Space Gray","16/32/64 GB","iPad Air 1/2",0,11168,"contains description",99,15,"not a 99 ending"
"not biddable",155,"used","No cellular","None","Unknown","16/32/64 GB","iPad mini",0,11169,"no description",0,0,"not a 99 ending"
"not biddable",128,"used","No cellular","None","White","16/32/64 GB","iPad 2",0,11170,"no description",0,0,"not a 99 ending"
"not biddable",275,"used","No cellular","None","Space Gray","16/32/64 GB","iPad mini 2",0,11171,"no description",0,0,"not a 99 ending"
"not biddable",149.99,"used","Unknown","Unknown","Unknown","16/32/64 GB","Unknown",0,11172,"contains description",98,4,"99 ending"
"not biddable",149.59,"used","No cellular","None","Unknown","16/32/64 GB","iPad mini",1,11173,"no description",0,0,"not a 99 ending"
"not biddable",209.99,"used","No cellular","None","White","16/32/64 GB","iPad mini",0,11174,"contains description",38,2,"99 ending"
"biddable",290,"used","No cellular","None","White","16/32/64 GB","iPad mini",0,11175,"contains description",15,0,"not a 99 ending"
"not biddable",789,"new","Cellular","Unknown","Space Gray","128 GB","iPad Air 1/2",0,11176,"no description",0,0,"not a 99 ending"
"not biddable",224,"used","Cellular","AT&T","White","16/32/64 GB","Unknown",0,11177,"contains description",98,2,"not a 99 ending"
"not biddable",239.88,"refurbished","No cellular","None","Unknown","16/32/64 GB","iPad 3",0,11178,"contains description",101,2,"not a 99 ending"
"not biddable",252.88,"new","No cellular","None","Black","16/32/64 GB","iPad mini",0,11179,"no description",0,0,"not a 99 ending"
"biddable",0.99,"used","No cellular","None","Space Gray","16/32/64 GB","iPad Air 1/2",1,11180,"contains description",77,2,"99 ending"
"biddable",159.99,"used","No cellular","None","Black","16/32/64 GB","iPad mini",0,11181,"no description",0,0,"99 ending"
"not biddable",639,"new","No cellular","None","Unknown","128 GB","iPad Air 1/2",0,11182,"no description",0,0,"not a 99 ending"
"not biddable",619.99,"refurbished","No cellular","None","Space Gray","128 GB","iPad Air 1/2",0,11183,"contains description",85,10,"99 ending"
"not biddable",499.99,"new","No cellular","None","Gold","16/32/64 GB","iPad mini3",0,11184,"no description",0,0,"99 ending"
"not biddable",429.95,"used","Cellular","Sprint/T-Mobile","White","16/32/64 GB","iPad Air 1/2",0,11185,"no description",0,0,"not a 99 ending"
"not biddable",325,"new","No cellular","None","Space Gray","16/32/64 GB","iPad mini3",1,11186,"no description",0,0,"not a 99 ending"
"not biddable",535,"new","No cellular","None","White","16/32/64 GB","Unknown",0,11187,"no description",0,0,"not a 99 ending"
"not biddable",289.99,"new","No cellular","None","White","16/32/64 GB","iPad mini",0,11188,"no description",0,0,"99 ending"
"not biddable",454.68,"new","No cellular","None","White","16/32/64 GB","iPad Air 1/2",0,11189,"no description",0,0,"not a 99 ending"
"not biddable",104.7,"used","No cellular","None","Unknown","16/32/64 GB","iPad 1",1,11190,"contains description",55,1,"not a 99 ending"
"not biddable",649.99,"new","No cellular","None","Unknown","16/32/64 GB","iPad 3",0,11191,"no description",0,0,"99 ending"
"not biddable",450,"new","No cellular","None","Gold","16/32/64 GB","iPad Air 1/2",0,11192,"no description",0,0,"not a 99 ending"
"not biddable",155,"used","No cellular","None","Unknown","16/32/64 GB","iPad mini",0,11193,"no description",0,0,"not a 99 ending"
"not biddable",310,"used","Cellular","Verizon","Black","16/32/64 GB","iPad mini",0,11194,"no description",0,0,"not a 99 ending"
"biddable",250,"used","Unknown","AT&T","Unknown","16/32/64 GB","Unknown",0,11195,"contains description",18,0,"not a 99 ending"
"not biddable",149.99,"used","No cellular","None","Black","16/32/64 GB","iPad 2",1,11196,"contains description",101,3,"99 ending"
"not biddable",679.95,"refurbished","Cellular","Unknown","Unknown","128 GB","iPad Air 1/2",0,11197,"no description",0,0,"not a 99 ending"
"not biddable",396,"used","No cellular","None","White","16/32/64 GB","iPad 2",0,11198,"contains description",98,2,"not a 99 ending"
"biddable",0.99,"new","Unknown","Unknown","Unknown","Unknown","Unknown",1,11199,"no description",0,0,"99 ending"
"not biddable",379.99,"used","No cellular","None","Space Gray","16/32/64 GB","iPad Air 1/2",1,11200,"no description",0,0,"99 ending"
"not biddable",105,"used","Cellular","AT&T","Unknown","16/32/64 GB","iPad 1",0,11201,"contains description",100,13,"not a 99 ending"
"not biddable",119,"refurbished","No cellular","None","Black","16/32/64 GB","iPad 1",0,11202,"contains description",103,10,"not a 99 ending"
"not biddable",379.99,"used","Cellular","Unknown","White","16/32/64 GB","iPad mini 2",0,11203,"contains description",100,78,"99 ending"
"not biddable",15,"used","No cellular","None","Black","16/32/64 GB","Unknown",0,11204,"no description",0,0,"not a 99 ending"
"not biddable",549,"new","No cellular","None","Space Gray","16/32/64 GB","iPad Air 1/2",0,11205,"no description",0,0,"not a 99 ending"
"not biddable",439.98,"new","No cellular","None","White","16/32/64 GB","iPad Air 1/2",0,11206,"no description",0,0,"not a 99 ending"
"not biddable",124.95,"used","No cellular","None","Unknown","16/32/64 GB","iPad 1",0,11207,"contains description",5,0,"not a 99 ending"
"not biddable",263.99,"refurbished","No cellular","None","White","16/32/64 GB","iPad 4",0,11208,"contains description",104,14,"99 ending"
"not biddable",400,"used","Cellular","AT&T","Unknown","16/32/64 GB","iPad mini",0,11209,"contains description",43,1,"not a 99 ending"
"not biddable",575,"refurbished","No cellular","None","Gold","128 GB","iPad mini3",0,11210,"no description",0,0,"not a 99 ending"
"not biddable",454,"new","No cellular","None","Space Gray","16/32/64 GB","iPad Air 1/2",0,11211,"no description",0,0,"not a 99 ending"
"not biddable",450,"new","No cellular","None","Unknown","16/32/64 GB","iPad Air 1/2",1,11212,"no description",0,0,"not a 99 ending"
"biddable",0.99,"used","No cellular","None","Space Gray","16/32/64 GB","iPad mini",1,11213,"contains description",75,11,"99 ending"
"not biddable",749,"new","Cellular","Sprint/T-Mobile","Unknown","128 GB","iPad Air 1/2",0,11214,"no description",0,0,"not a 99 ending"
"not biddable",550,"new","Cellular","Unknown","Gold","16/32/64 GB","iPad mini3",0,11215,"contains description",90,4,"not a 99 ending"
"biddable",300,"new","No cellular","None","Gold","16/32/64 GB","iPad mini3",0,11216,"no description",0,0,"not a 99 ending"
"not biddable",624.99,"new","No cellular","None","Gold","128 GB","iPad Air 1/2",1,11217,"no description",0,0,"99 ending"
"not biddable",349.99,"used","Cellular","Sprint/T-Mobile","Unknown","16/32/64 GB","iPad Air 1/2",1,11218,"no description",0,0,"99 ending"
"not biddable",430,"used","Cellular","AT&T","Unknown","16/32/64 GB","iPad Air 1/2",0,11219,"contains description",58,4,"not a 99 ending"
"not biddable",449,"new","No cellular","None","White","16/32/64 GB","iPad Air 1/2",0,11220,"contains description",98,3,"not a 99 ending"
